regiao,mes,volume_m3
Sudeste,2023-01-01,8683.5
Sudeste,2023-02-01,8964.7
Sudeste,2023-03-01,9423.5
Sudeste,2023-04-01,9645.8
Sudeste,2023-05-01,9616.0
Sudeste,2023-06-01,9750.4
Sudeste,2023-07-01,9413.8
Sudeste,2023-08-01,9136.1
Sudeste,2023-09-01,8900.3
Sudeste,2023-10-01,8524.3
Sudeste,2023-11-01,8329.7
Sudeste,2023-12-01,8468.6
Sudeste,2024-01-01,8879.4
Sudeste,2024-02-01,9033.6
Sudeste,2024-03-01,9540.1
Sudeste,2024-04-01,9817.7
Sudeste,2024-05-01,9795.4
Sudeste,2024-06-01,9824.4
Sudeste,2024-07-01,9612.7
Sudeste,2024-08-01,9163.1
Sudeste,2024-09-01,8849.6
Sudeste,2024-10-01,8691.5
Sudeste,2024-11-01,8454.9
Sudeste,2024-12-01,8595.8
Sudeste,2025-01-01,9018.1
Sudeste,2025-02-01,9307.2
Sudeste,2025-03-01,9543.0
Sudeste,2025-04-01,9931.2
Sudeste,2025-05-01,10199.1
Sudeste,2025-06-01,9827.1
Sudeste,2025-07-01,9778.5
Sudeste,2025-08-01,9435.7
Sudeste,2025-09-01,9019.2
Sudeste,2025-10-01,8840.6
Sudeste,2025-11-01,8651.4
Sudeste,2025-12-01,8943.5
Sul,2023-01-01,7018.8
Sul,2023-02-01,6380.7
Sul,2023-03-01,5987.6
Sul,2023-04-01,5558.0
Sul,2023-05-01,5130.0
Sul,2023-06-01,5120.2
Sul,2023-07-01,5095.0
Sul,2023-08-01,5632.8
Sul,2023-09-01,6013.7
Sul,2023-10-01,6523.4
Sul,2023-11-01,6936.4
Sul,2023-12-01,7121.6
Sul,2024-01-01,6782.6
Sul,2024-02-01,6643.0
Sul,2024-03-01,6184.2
Sul,2024-04-01,5601.9
Sul,2024-05-01,5448.6
Sul,2024-06-01,5064.8
Sul,2024-07-01,5223.1
Sul,2024-08-01,5682.6
Sul,2024-09-01,6042.4
Sul,2024-10-01,6759.8
Sul,2024-11-01,6977.3
Sul,2024-12-01,7284.0
Sul,2025-01-01,6846.6
Sul,2025-02-01,6516.8
Sul,2025-03-01,6308.3
Sul,2025-04-01,5567.5
Sul,2025-05-01,5467.9
Sul,2025-06-01,5132.0
Sul,2025-07-01,5387.5
Sul,2025-08-01,5843.9
Sul,2025-09-01,6185.2
Sul,2025-10-01,6542.3
Sul,2025-11-01,6971.2
Sul,2025-12-01,7289.8
Nordeste,2023-01-01,5578.7
Nordeste,2023-02-01,5551.5
Nordeste,2023-03-01,5590.3
Nordeste,2023-04-01,5794.4
Nordeste,2023-05-01,6024.8
Nordeste,2023-06-01,6234.2
Nordeste,2023-07-01,6519.8
Nordeste,2023-08-01,6574.2
Nordeste,2023-09-01,6386.3
Nordeste,2023-10-01,6331.6
Nordeste,2023-11-01,6148.5
Nordeste,2023-12-01,5965.2
Nordeste,2024-01-01,5593.9
Nordeste,2024-02-01,5624.0
Nordeste,2024-03-01,5726.7
Nordeste,2024-04-01,5930.7
Nordeste,2024-05-01,6102.4
Nordeste,2024-06-01,6433.9
Nordeste,2024-07-01,6570.2
Nordeste,2024-08-01,6668.5
Nordeste,2024-09-01,6581.2
Nordeste,2024-10-01,6457.7
Nordeste,2024-11-01,6174.9
Nordeste,2024-12-01,5975.4
Nordeste,2025-01-01,5778.1
Nordeste,2025-02-01,5780.2
Nordeste,2025-03-01,5902.1
Nordeste,2025-04-01,5988.5
Nordeste,2025-05-01,6208.2
Nordeste,2025-06-01,6497.4
Nordeste,2025-07-01,6671.2
Nordeste,2025-08-01,6679.6
Nordeste,2025-09-01,6722.7
Nordeste,2025-10-01,6517.7
Nordeste,2025-11-01,6360.3
Nordeste,2025-12-01,6057.5
Centro-Oeste,2023-01-01,5550.4
Centro-Oeste,2023-02-01,5098.2
Centro-Oeste,2023-03-01,4526.5
Centro-Oeste,2023-04-01,4230.3
Centro-Oeste,2023-05-01,4103.5
Centro-Oeste,2023-06-01,4246.8
Centro-Oeste,2023-07-01,4728.8
Centro-Oeste,2023-08-01,5049.0
Centro-Oeste,2023-09-01,5524.7
Centro-Oeste,2023-10-01,5827.4
Centro-Oeste,2023-11-01,6201.0
Centro-Oeste,2023-12-01,5905.2
Centro-Oeste,2024-01-01,5612.9
Centro-Oeste,2024-02-01,5101.0
Centro-Oeste,2024-03-01,4784.1
Centro-Oeste,2024-04-01,4360.0
Centro-Oeste,2024-05-01,4266.6
Centro-Oeste,2024-06-01,4254.2
Centro-Oeste,2024-07-01,4640.9
Centro-Oeste,2024-08-01,5303.4
Centro-Oeste,2024-09-01,5829.9
Centro-Oeste,2024-10-01,5912.7
Centro-Oeste,2024-11-01,6245.4
Centro-Oeste,2024-12-01,6142.3
Centro-Oeste,2025-01-01,6136.4
Centro-Oeste,2025-02-01,5265.5
Centro-Oeste,2025-03-01,4865.2
Centro-Oeste,2025-04-01,4509.7
Centro-Oeste,2025-05-01,4606.3
Centro-Oeste,2025-06-01,4765.8
Centro-Oeste,2025-07-01,4968.3
Centro-Oeste,2025-08-01,5626.2
Centro-Oeste,2025-09-01,6154.5
Centro-Oeste,2025-10-01,6221.7
Centro-Oeste,2025-11-01,6467.2
Centro-Oeste,2025-12-01,6281.3
